,household_id,income_bracket,age,family_size,sex,prev_interactions,price,purchase,race,state
0,0,60k–70k,31,4,M,0,50,0,Black,AL
5,0,60k–70k,31,4,M,0,45,0,Black,AL
10,0,60k–70k,31,4,M,0,40,0,Black,AL
15,0,60k–70k,31,4,M,0,35,0,Black,AL
20,0,60k–70k,31,4,M,0,30,0,Black,AL
25,0,60k–70k,31,4,M,0,25,1,Black,AL
30,0,60k–70k,31,4,M,0,20,1,Black,AL
35,0,60k–70k,31,4,M,0,15,1,Black,AL
36,1,60k–70k,42,5,F,1,50,0,White,AL
41,1,60k–70k,42,5,F,1,45,0,White,AL
46,1,60k–70k,42,5,F,1,40,0,White,AL
51,1,60k–70k,42,5,F,1,35,0,White,AL
56,1,60k–70k,42,5,F,1,30,0,White,AL
61,1,60k–70k,42,5,F,1,25,0,White,AL
66,1,60k–70k,42,5,F,1,20,0,White,AL
71,1,60k–70k,42,5,F,1,15,1,White,AL
72,2,60k–70k,42,5,M,1,50,0,White,AL
77,2,60k–70k,42,5,M,1,45,0,White,AL
82,2,60k–70k,42,5,M,1,40,0,White,AL
87,2,60k–70k,42,5,M,1,35,0,White,AL
92,2,60k–70k,42,5,M,1,30,0,White,AL
97,2,60k–70k,42,5,M,1,25,0,White,AL
102,2,60k–70k,42,5,M,1,20,0,White,AL
107,2,60k–70k,42,5,M,1,15,0,White,AL
108,3,60k–70k,30,1,M,1,50,1,White,AL
113,3,60k–70k,30,1,M,1,45,1,White,AL
118,3,60k–70k,30,1,M,1,40,1,White,AL
123,3,60k–70k,30,1,M,1,35,1,White,AL
128,3,60k–70k,30,1,M,1,30,1,White,AL
133,3,60k–70k,30,1,M,1,25,1,White,AL
138,3,60k–70k,30,1,M,1,20,1,White,AL
143,3,60k–70k,30,1,M,1,15,1,White,AL
144,4,60k–70k,61,2,M,0,50,0,White,AL
149,4,60k–70k,61,2,M,0,45,0,White,AL
154,4,60k–70k,61,2,M,0,40,0,White,AL
159,4,60k–70k,61,2,M,0,35,0,White,AL
164,4,60k–70k,61,2,M,0,30,0,White,AL
169,4,60k–70k,61,2,M,0,25,0,White,AL
174,4,60k–70k,61,2,M,0,20,0,White,AL
179,4,60k–70k,61,2,M,0,15,1,White,AL
180,5,60k–70k,44,5,M,0,50,0,White,AL
185,5,60k–70k,44,5,M,0,45,0,White,AL
190,5,60k–70k,44,5,M,0,40,0,White,AL
195,5,60k–70k,44,5,M,0,35,0,White,AL
200,5,60k–70k,44,5,M,0,30,0,White,AL
205,5,60k–70k,44,5,M,0,25,0,White,AL
210,5,60k–70k,44,5,M,0,20,0,White,AL
215,5,60k–70k,44,5,M,0,15,0,White,AL
216,6,60k–70k,25,5,F,0,50,0,Other,AL
221,6,60k–70k,25,5,F,0,45,0,Other,AL
226,6,60k–70k,25,5,F,0,40,0,Other,AL
231,6,60k–70k,25,5,F,0,35,0,Other,AL
236,6,60k–70k,25,5,F,0,30,0,Other,AL
241,6,60k–70k,25,5,F,0,25,0,Other,AL
246,6,60k–70k,25,5,F,0,20,0,Other,AL
251,6,60k–70k,25,5,F,0,15,1,Other,AL
252,7,60k–70k,47,1,F,0,50,1,White,AL
257,7,60k–70k,47,1,F,0,45,1,White,AL
262,7,60k–70k,47,1,F,0,40,1,White,AL
267,7,60k–70k,47,1,F,0,35,1,White,AL
272,7,60k–70k,47,1,F,0,30,1,White,AL
277,7,60k–70k,47,1,F,0,25,1,White,AL
282,7,60k–70k,47,1,F,0,20,1,White,AL
287,7,60k–70k,47,1,F,0,15,1,White,AL
288,8,60k–70k,27,4,M,0,50,0,White,AL
293,8,60k–70k,27,4,M,0,45,0,White,AL
298,8,60k–70k,27,4,M,0,40,0,White,AL
303,8,60k–70k,27,4,M,0,35,0,White,AL
308,8,60k–70k,27,4,M,0,30,0,White,AL
313,8,60k–70k,27,4,M,0,25,1,White,AL
318,8,60k–70k,27,4,M,0,20,1,White,AL
323,8,60k–70k,27,4,M,0,15,1,White,AL
324,9,60k–70k,48,3,M,0,50,0,Black,AL
329,9,60k–70k,48,3,M,0,45,0,Black,AL
334,9,60k–70k,48,3,M,0,40,0,Black,AL
339,9,60k–70k,48,3,M,0,35,0,Black,AL
344,9,60k–70k,48,3,M,0,30,0,Black,AL
349,9,60k–70k,48,3,M,0,25,0,Black,AL
354,9,60k–70k,48,3,M,0,20,0,Black,AL
359,9,60k–70k,48,3,M,0,15,1,Black,AL
360,10,60k–70k,53,2,M,0,50,0,White,AL
365,10,60k–70k,53,2,M,0,45,0,White,AL
370,10,60k–70k,53,2,M,0,40,0,White,AL
375,10,60k–70k,53,2,M,0,35,1,White,AL
380,10,60k–70k,53,2,M,0,30,1,White,AL
385,10,60k–70k,53,2,M,0,25,1,White,AL
390,10,60k–70k,53,2,M,0,20,1,White,AL
395,10,60k–70k,53,2,M,0,15,1,White,AL
396,11,60k–70k,29,2,M,0,50,0,White,AL
401,11,60k–70k,29,2,M,0,45,0,White,AL
406,11,60k–70k,29,2,M,0,40,1,White,AL
411,11,60k–70k,29,2,M,0,35,1,White,AL
416,11,60k–70k,29,2,M,0,30,1,White,AL
421,11,60k–70k,29,2,M,0,25,1,White,AL
426,11,60k–70k,29,2,M,0,20,1,White,AL
431,11,60k–70k,29,2,M,0,15,1,White,AL
432,12,60k–70k,50,2,M,0,50,0,White,AL
437,12,60k–70k,50,2,M,0,45,0,White,AL
442,12,60k–70k,50,2,M,0,40,0,White,AL
447,12,60k–70k,50,2,M,0,35,0,White,AL
452,12,60k–70k,50,2,M,0,30,0,White,AL
457,12,60k–70k,50,2,M,0,25,0,White,AL
462,12,60k–70k,50,2,M,0,20,0,White,AL
467,12,60k–70k,50,2,M,0,15,1,White,AL
468,13,60k–70k,44,6,F,0,50,0,White,AL
473,13,60k–70k,44,6,F,0,45,0,White,AL
478,13,60k–70k,44,6,F,0,40,0,White,AL
483,13,60k–70k,44,6,F,0,35,0,White,AL
488,13,60k–70k,44,6,F,0,30,0,White,AL
493,13,60k–70k,44,6,F,0,25,0,White,AL
498,13,60k–70k,44,6,F,0,20,0,White,AL
503,13,60k–70k,44,6,F,0,15,0,White,AL
504,14,60k–70k,49,4,M,0,50,0,White,AL
509,14,60k–70k,49,4,M,0,45,0,White,AL
514,14,60k–70k,49,4,M,0,40,0,White,AL
519,14,60k–70k,49,4,M,0,35,0,White,AL
524,14,60k–70k,49,4,M,0,30,0,White,AL
529,14,60k–70k,49,4,M,0,25,0,White,AL
534,14,60k–70k,49,4,M,0,20,0,White,AL
539,14,60k–70k,49,4,M,0,15,0,White,AL
540,15,60k–70k,62,1,F,1,50,0,White,AL
545,15,60k–70k,62,1,F,1,45,0,White,AL
550,15,60k–70k,62,1,F,1,40,1,White,AL
555,15,60k–70k,62,1,F,1,35,1,White,AL
560,15,60k–70k,62,1,F,1,30,1,White,AL
565,15,60k–70k,62,1,F,1,25,1,White,AL
570,15,60k–70k,62,1,F,1,20,1,White,AL
575,15,60k–70k,62,1,F,1,15,1,White,AL
576,16,60k–70k,36,1,M,0,50,1,White,AL
581,16,60k–70k,36,1,M,0,45,1,White,AL
586,16,60k–70k,36,1,M,0,40,1,White,AL
591,16,60k–70k,36,1,M,0,35,1,White,AL
596,16,60k–70k,36,1,M,0,30,1,White,AL
601,16,60k–70k,36,1,M,0,25,1,White,AL
606,16,60k–70k,36,1,M,0,20,1,White,AL
611,16,60k–70k,36,1,M,0,15,1,White,AL
612,17,60k–70k,30,1,M,0,50,1,White,AL
617,17,60k–70k,30,1,M,0,45,1,White,AL
622,17,60k–70k,30,1,M,0,40,1,White,AL
627,17,60k–70k,30,1,M,0,35,1,White,AL
632,17,60k–70k,30,1,M,0,30,1,White,AL
637,17,60k–70k,30,1,M,0,25,1,White,AL
642,17,60k–70k,30,1,M,0,20,1,White,AL
647,17,60k–70k,30,1,M,0,15,1,White,AL
648,18,60k–70k,28,5,M,0,50,0,White,AL
653,18,60k–70k,28,5,M,0,45,0,White,AL
658,18,60k–70k,28,5,M,0,40,0,White,AL
663,18,60k–70k,28,5,M,0,35,0,White,AL
668,18,60k–70k,28,5,M,0,30,0,White,AL
673,18,60k–70k,28,5,M,0,25,0,White,AL
678,18,60k–70k,28,5,M,0,20,0,White,AL
683,18,60k–70k,28,5,M,0,15,0,White,AL
